GEOID,NAME,variable,estimate,moe
01001,"Autauga County, Alabama",B01003_001,55639,
01003,"Baldwin County, Alabama",B01003_001,218289,
01005,"Barbour County, Alabama",B01003_001,25026,
01007,"Bibb County, Alabama",B01003_001,22374,
01009,"Blount County, Alabama",B01003_001,57755,
01011,"Bullock County, Alabama",B01003_001,10173,
01013,"Butler County, Alabama",B01003_001,19726,
01015,"Calhoun County, Alabama",B01003_001,114324,
01017,"Chambers County, Alabama",B01003_001,33427,
01019,"Cherokee County, Alabama",B01003_001,26035,
01021,"Chilton County, Alabama",B01003_001,44147,
01023,"Choctaw County, Alabama",B01003_001,12755,
01025,"Clarke County, Alabama",B01003_001,23866,
01027,"Clay County, Alabama",B01003_001,13285,
01029,"Cleburne County, Alabama",B01003_001,14952,
01031,"Coffee County, Alabama",B01003_001,52238,
01033,"Colbert County, Alabama",B01003_001,54957,
01035,"Conecuh County, Alabama",B01003_001,12219,
01037,"Coosa County, Alabama",B01003_001,10696,
01039,"Covington County, Alabama",B01003_001,37096,
01041,"Crenshaw County, Alabama",B01003_001,13826,
01043,"Cullman County, Alabama",B01003_001,83345,
01045,"Dale County, Alabama",B01003_001,49293,
01047,"Dallas County, Alabama",B01003_001,38184,
01049,"DeKalb County, Alabama",B01003_001,71430,
01051,"Elmore County, Alabama",B01003_001,81526,
01053,"Escambia County, Alabama",B01003_001,36775,
01055,"Etowah County, Alabama",B01003_001,102721,
01057,"Fayette County, Alabama",B01003_001,16406,
01059,"Franklin County, Alabama",B01003_001,31587,
01061,"Geneva County, Alabama",B01003_001,26383,
01063,"Greene County, Alabama",B01003_001,8221,
01065,"Hale County, Alabama",B01003_001,14754,
01067,"Henry County, Alabama",B01003_001,17123,
01069,"Houston County, Alabama",B01003_001,105319,
01071,"Jackson County, Alabama",B01003_001,51765,
01073,"Jefferson County, Alabama",B01003_001,658615,265
01075,"Lamar County, Alabama",B01003_001,13854,
01077,"Lauderdale County, Alabama",B01003_001,92870,
01079,"Lawrence County, Alabama",B01003_001,32969,
01081,"Lee County, Alabama",B01003_001,163461,
01083,"Limestone County, Alabama",B01003_001,96921,
01085,"Lowndes County, Alabama",B01003_001,9936,
01087,"Macon County, Alabama",B01003_001,18437,
01089,"Madison County, Alabama",B01003_001,367686,
01091,"Marengo County, Alabama",B01003_001,19138,
01093,"Marion County, Alabama",B01003_001,29818,
01095,"Marshall County, Alabama",B01003_001,96137,
01097,"Mobile County, Alabama",B01003_001,413977,
01099,"Monroe County, Alabama",B01003_001,21006,
01101,"Montgomery County, Alabama",B01003_001,226451,
01103,"Morgan County, Alabama",B01003_001,119352,
01105,"Perry County, Alabama",B01003_001,9104,
01107,"Pickens County, Alabama",B01003_001,20049,
01109,"Pike County, Alabama",B01003_001,33274,
01111,"Randolph County, Alabama",B01003_001,22732,
01113,"Russell County, Alabama",B01003_001,57938,
01115,"St. Clair County, Alabama",B01003_001,88929,
01117,"Shelby County, Alabama",B01003_001,216350,265
01119,"Sumter County, Alabama",B01003_001,12595,
01121,"Talladega County, Alabama",B01003_001,80244,
01123,"Tallapoosa County, Alabama",B01003_001,40450,
01125,"Tuscaloosa County, Alabama",B01003_001,208854,
01127,"Walker County, Alabama",B01003_001,63802,
01129,"Washington County, Alabama",B01003_001,16336,
01131,"Wilcox County, Alabama",B01003_001,10552,
01133,"Winston County, Alabama",B01003_001,23712,
02013,"Aleutians East Borough, Alaska",B01003_001,3389,
02016,"Aleutians West Census Area, Alaska",B01003_001,5708,
02020,"Anchorage Municipality, Alaska",B01003_001,292090,
02050,"Bethel Census Area, Alaska",B01003_001,18263,
02060,"Bristol Bay Borough, Alaska",B01003_001,739,121
02063,"Chugach Census Area, Alaska",B01003_001,6495,
02066,"Copper River Census Area, Alaska",B01003_001,2894,
02068,"Denali Borough, Alaska",B01003_001,2502,390
02070,"Dillingham Census Area, Alaska",B01003_001,4934,
02090,"Fairbanks North Star Borough, Alaska",B01003_001,98455,
02100,"Haines Borough, Alaska",B01003_001,2547,
02105,"Hoonah-Angoon Census Area, Alaska",B01003_001,2135,
02110,"Juneau City and Borough, Alaska",B01003_001,32099,
02122,"Kenai Peninsula Borough, Alaska",B01003_001,58809,
02130,"Ketchikan Gateway Borough, Alaska",B01003_001,13833,
02150,"Kodiak Island Borough, Alaska",B01003_001,13383,
02158,"Kusilvak Census Area, Alaska",B01003_001,8298,
02164,"Lake and Peninsula Borough, Alaska",B01003_001,1156,390
02170,"Matanuska-Susitna Borough, Alaska",B01003_001,107360,
02180,"Nome Census Area, Alaska",B01003_001,10009,
02185,"North Slope Borough, Alaska",B01003_001,9375,
02188,"Northwest Arctic Borough, Alaska",B01003_001,7709,
02195,"Petersburg Borough, Alaska",B01003_001,3278,
02198,"Prince of Wales-Hyder Census Area, Alaska",B01003_001,6338,
02220,"Sitka City and Borough, Alaska",B01003_001,8569,
02230,"Skagway Municipality, Alaska",B01003_001,1300,163
02240,"Southeast Fairbanks Census Area, Alaska",B01003_001,6911,
02275,"Wrangell City and Borough, Alaska",B01003_001,2510,
02282,"Yakutat City and Borough, Alaska",B01003_001,597,112
02290,"Yukon-Koyukuk Census Area, Alaska",B01003_001,5305,
04001,"Apache County, Arizona",B01003_001,71714,
