year,state,ten_year_age_groups,deaths,population,notes
1999,Alabama,25-34 years,10,608323,unreliable
1999,Alabama,35-44 years,13,686932,unreliable
1999,Alabama,45-54 years,10,585651,unreliable
1999,Alaska,35-44 years,14,116881,unreliable
1999,Arizona,15-24 years,10,710747,unreliable
1999,Arizona,25-34 years,50,738538,""
1999,Arizona,35-44 years,85,761436,""
1999,Arizona,45-54 years,65,604767,""
1999,Arkansas,35-44 years,13,394882,unreliable
1999,California,15-24 years,71,4706286,""
1999,California,25-34 years,247,5278543,""
1999,California,35-44 years,562,5462186,""
1999,California,45-54 years,452,4189310,""
1999,California,55-64 years,102,2543047,""
1999,California,65-74 years,27,1888004,""
1999,Colorado,15-24 years,11,596784,unreliable
1999,Colorado,25-34 years,29,654857,""
1999,Colorado,35-44 years,64,738963,""
1999,Colorado,45-54 years,46,593059,""
1999,Connecticut,15-24 years,18,399056,unreliable
1999,Connecticut,25-34 years,32,462436,""
1999,Connecticut,35-44 years,69,579519,""
1999,Connecticut,45-54 years,27,469320,""
1999,Delaware,35-44 years,10,126830,unreliable
1999,District of Columbia,35-44 years,12,88156,unreliable
1999,District of Columbia,45-54 years,10,73239,unreliable
1999,Florida,15-24 years,43,1899728,""
1999,Florida,25-34 years,85,2092705,""
1999,Florida,35-44 years,148,2456475,""
1999,Florida,45-54 years,96,1991942,""
1999,Florida,55-64 years,15,1509450,unreliable
1999,Georgia,25-34 years,19,1294350,unreliable
1999,Georgia,35-44 years,28,1335448,""
1999,Georgia,45-54 years,21,1046564,""
1999,Hawaii,35-44 years,11,193008,unreliable
1999,Idaho,45-54 years,11,164613,unreliable
1999,Illinois,15-24 years,57,1727494,""
1999,Illinois,25-34 years,113,1825711,""
1999,Illinois,35-44 years,190,1987201,""
1999,Illinois,45-54 years,100,1584101,""
1999,Illinois,55-64 years,16,1029288,unreliable
1999,Indiana,25-34 years,16,836943,unreliable
1999,Indiana,35-44 years,16,962267,unreliable
1999,Kansas,35-44 years,10,423950,unreliable
